ward,property_count
東京都港区,117
東京都中央区,91
東京都渋谷区,89
東京都品川区,83
東京都千代田区,69
東京都新宿区,68
東京都大田区,51
東京都江東区,49
東京都台東区,45
東京都世田谷区,44
東京都文京区,35
東京都板橋区,32
東京都目黒区,31
東京都墨田区,30
東京都豊島区,26
東京都中野区,15
東京都杉並区,14
東京都練馬区,10
東京都北区,10
東京都荒川区,8
東京都足立区,8
東京都江戸川区,8
東京都葛飾区,1
（タワー棟）東京都新宿区,1
