reit_name,location,asset_type,cap_rate_pct,occupancy
積水ハウス・リート投資法人,愛知県名古屋市千種区萱場,,,96.5
積水ハウス・リート投資法人,愛知県名古屋市東区橦木町,,,100.0
投資法人みらい,愛知県名古屋市,,,
投資法人みらい,愛知県名古屋市,,,
投資法人みらい,愛知県名古屋市,,,
投資法人みらい,愛知県名古屋市,,,
投資法人みらい,愛知県名古屋市,,,
阪急阪神リート投資法人,名古屋市東区,,,13.0
アクティビア・プロパティーズ投資法人,愛知県名古屋市,,,100.0
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
日本リート投資法人,愛知県名古屋市,,,
インヴィンシブル投資法人,愛知県名古屋市千種区御棚町二丁目44番,,,
インヴィンシブル投資法人,愛知県名古屋市港区新川町四丁目１番２,,,
インヴィンシブル投資法人,愛知県名古屋市中区錦三丁目８番21号,,,
インヴィンシブル投資法人,愛知県名古屋市北区平安二丁目13番17号,,,
インヴィンシブル投資法人,愛知県名古屋市中区東桜二丁目23番22号,,,
オリックス不動産投資法人,愛知県名古屋市中区錦一丁目5番11号,,,
オリックス不動産投資法人,愛知県名古屋市中区錦一丁目5番13号,,,
オリックス不動産投資法人,愛知県名古屋市中区栄四丁目7番15号,,,
アドバンス・レジデンス投資法人,愛知県名古屋市熱田区比々野町19番地,信託受益権,,97.6
アドバンス・レジデンス投資法人,愛知県名古屋市東区泉二丁目28番18号,不動産,,93.9
アドバンス・レジデンス投資法人,愛知県名古屋市東区東桜二丁目17番17号,信託受益権,,90.8
アドバンス・レジデンス投資法人,愛知県名古屋市東区東桜二丁目17番25号,信託受益権,,87.7
アドバンス・レジデンス投資法人,愛知県名古屋市東区泉一丁目３番43号,不動産,,97.0
アドバンス・レジデンス投資法人,愛知県名古屋市東区泉一丁目10番18号,信託受益権,,92.3
アドバンス・レジデンス投資法人,愛知県名古屋市東区徳川二丁目８番５号,不動産,,91.8
アドバンス・レジデンス投資法人,愛知県名古屋市中区丸の内三丁目４番22号,不動産,,97.8
アドバンス・レジデンス投資法人,愛知県名古屋市中区千代田三丁目３番８号,信託受益権,,93.0
いちごホテルリート投資法人,愛知県名古屋市中区錦一丁目４番11号,不動産信託受益権,,
サムティ・レジデンシャル投資法人,愛知県名古屋市東区葵三丁目11番22号,,,
大和ハウスリート投資法人,愛知県名古屋市北区若葉通一丁目15番地２,,,
グローバル・ワン不動産投資法人,愛知県名古屋市中区錦一丁目17番１号,不動産信託受益権,,
いちごオフィスリート投資法人,愛知県名古屋市中区栄三丁目15番27号,不動産,,97.4
いちごオフィスリート投資法人,愛知県名古屋市中区錦一丁目８番８号,不動産信託受益権,,100.0
いちごオフィスリート投資法人,愛知県名古屋市中区錦二丁目２番24号,不動産信託受益権,,88.3
いちごオフィスリート投資法人,愛知県名古屋市中区錦一丁目18番24号,不動産信託受益権,,92.2
いちごオフィスリート投資法人,愛知県名古屋市中区錦一丁目５番27号,不動産信託受益権,,94.3
いちごオフィスリート投資法人,愛知県名古屋市中区丸の内三丁目17番13号,不動産,,100.0
平和不動産リート投資法人,愛知県名古屋市中区栄三丁目1907番他２筆,,,
平和不動産リート投資法人,愛知県名古屋市東区泉一丁目1201番,,,
平和不動産リート投資法人,愛知県名古屋市千種区今池南902番他１筆,,,
平和不動産リート投資法人,愛知県名古屋市西区菊井二丁目1918番,,,
平和不動産リート投資法人,愛知県名古屋市中区錦一丁目726番１　他1筆,,,
平和不動産リート投資法人,愛知県名古屋市中区栄三丁目1314番　他９筆,,,
平和不動産リート投資法人,愛知県名古屋市西区幅下二丁目1112番他１筆,,,
平和不動産リート投資法人,愛知県名古屋市中区丸の内三丁目2310番２他４筆,,,
