reit_name,location,asset_type,cap_rate_pct,occupancy
日本都市ファンド投資法人,大阪府大阪市北区大淀南一丁目10番5号,,,
日本都市ファンド投資法人,大阪府大阪市都島区都島本通四丁目22番10号,,,
日本都市ファンド投資法人,大阪府大阪市中央区心斎橋筋一丁目3番24号,,,
日本都市ファンド投資法人,大阪府大阪市都島区中野町五丁目12番8号,,,
日本都市ファンド投資法人,大阪府大阪市北区長柄中一丁目4番8,,,
日本都市ファンド投資法人,大阪府大阪市中央区心斎橋筋一丁目2番14号他,,,
日本都市ファンド投資法人,大阪府大阪市福島区福島七丁目15番26号,,,
日本都市ファンド投資法人,大阪府大阪市中央区心斎橋筋二丁目8番5号,,,
日本都市ファンド投資法人,大阪府大阪市中央区難波一丁目1番他,,,
日本都市ファンド投資法人,大阪府大阪市中央区心斎橋筋二丁目5番3号,,,
日本都市ファンド投資法人,大阪府大阪市城東区蒲生一丁目53番1他,,,
日本都市ファンド投資法人,大阪府大阪市福島区福島七丁目20番1,,,
日本都市ファンド投資法人,大阪府大阪市福島区玉川三丁目1番20号,,,
日本都市ファンド投資法人,大阪府大阪市福島区海老江五丁目5番18,,,
日本都市ファンド投資法人,大阪府大阪市中央区南船場三丁目10番5号他,,,
日本都市ファンド投資法人,大阪府大阪市北区茶屋町15番22号,,,
日本都市ファンド投資法人,大阪府大阪市中央区心斎橋筋二丁目8番18号,,,
日本都市ファンド投資法人,大阪府大阪市東淀川区大隅一丁目6番12号,,,
日本都市ファンド投資法人,大阪府大阪市中央区今橋二丁目3番16号,,,
日本都市ファンド投資法人,大阪府東大阪市太平寺二丁目43番6,,,
日本都市ファンド投資法人,大阪府大阪市阿倍野区阿倍野筋一丁目4番7号,,,
日本都市ファンド投資法人,大阪府大阪市西区江戸堀一丁目5番16号,,,
日本都市ファンド投資法人,大阪府大阪市都島区東野田町一丁目8番17号,,,
日本都市ファンド投資法人,大阪府大阪市中央区城見二丁目1番61号,,,
日本都市ファンド投資法人,大阪府大阪市中央区南船場三丁目10番25号,,,
日本都市ファンド投資法人,大阪府大阪市西区阿波座一丁目6番1号,,,
ＧＬＰ投資法人,大阪府大阪市,,,
ＧＬＰ投資法人,大阪府大阪市,,,
ＧＬＰ投資法人,大阪府大阪市,,,
サンケイリアルエステート投資法人,大阪市浪速区,,,100.0
ラサールロジポート投資法人,大阪府大阪市,,,
ラサールロジポート投資法人,大阪府大阪市,,,
星野リゾート・リート投資法人,大阪府大阪市(近畿地方),,,
星野リゾート・リート投資法人,大阪府大阪市（近畿地方）,,,
星野リゾート・リート投資法人,大阪府大阪市（近畿地方）,,,
星野リゾート・リート投資法人,大阪府大阪市(近畿地方),,,
積水ハウス・リート投資法人,大阪府大阪市東住吉区北田辺,,,100.0
積水ハウス・リート投資法人,大阪府大阪市天王寺区上汐,,,92.3
積水ハウス・リート投資法人,大阪府大阪市中央区伏見町,,,100.0
積水ハウス・リート投資法人,大阪府大阪市西区南堀江,,,91.5
積水ハウス・リート投資法人,大阪府大阪市中央区上本町西,,,94.0
積水ハウス・リート投資法人,大阪府大阪市中央区北久宝寺町,,,99.4
積水ハウス・リート投資法人,大阪府大阪市都島区東野田町,,,93.3
積水ハウス・リート投資法人,大阪府大阪市北区西天満,,,97.8
投資法人みらい,大阪府大阪市,,,
投資法人みらい,大阪府大阪市,,,
投資法人みらい,大阪府大阪市,,,
投資法人みらい,大阪府大阪市,,,
阪急阪神リート投資法人,大阪市北区,,,6.0
阪急阪神リート投資法人,大阪市北区,,,2.0
阪急阪神リート投資法人,大阪市東淀川区,,,6.0
阪急阪神リート投資法人,大阪市中央区,,,9.0
阪急阪神リート投資法人,大阪市北区,,,6.0
阪急阪神リート投資法人,大阪府東大阪市,,,6.0
阪急阪神リート投資法人,大阪市北区,,,1.0
阪急阪神リート投資法人,大阪市北区,,,1.0
阪急阪神リート投資法人,大阪市福島区,,,1.0
阪急阪神リート投資法人,大阪市中央区,,,77.0
アクティビア・プロパティーズ投資法人,大阪府大阪市,,,100.0
アクティビア・プロパティーズ投資法人,大阪府大阪市,,,100.0
アクティビア・プロパティーズ投資法人,大阪府大阪市,,,100.0
アクティビア・プロパティーズ投資法人,大阪府大阪市,,,100.0
アクティビア・プロパティーズ投資法人,大阪府大阪市,,,100.0
ＳＯＳｉＬＡ物流リート投資法人,大阪府大阪市（関西エリア）,,,
ＳＯＳｉＬＡ物流リート投資法人,大阪府大阪市（関西エリア）,,,
ＳＯＳｉＬＡ物流リート投資法人,大阪府大阪市（関西エリア）,,,
ＳＯＳｉＬＡ物流リート投資法人,大阪府大阪市（関西エリア）,,,
日本ホテル＆レジデンシャル投資法人,大阪府大阪市,,4.1,100.0
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
日本リート投資法人,大阪府大阪市,,,
インヴィンシブル投資法人,大阪府大阪市中央区徳井町一丁目３番２号,,,
インヴィンシブル投資法人,大阪府大阪市淀川区西中島六丁目２番19号,,,
インヴィンシブル投資法人,大阪府大阪市北区曽根崎新地二丁目４番１号,,,
インヴィンシブル投資法人,大阪府大阪市天王寺区筆ヶ崎町５番38号,,,
インヴィンシブル投資法人,大阪府大阪市中央区淡路町一丁目４番８号,,,
インヴィンシブル投資法人,大阪府大阪市中央区本町三丁目２番10号,,,
インヴィンシブル投資法人,大阪府大阪市港区弁天一丁目２番１号（ホテル）大阪府大阪市港区弁天一丁目２番３号（空庭温泉）,,,
インヴィンシブル投資法人,大阪府大阪市中央区西心斎橋一丁目９番30号,,,
オリックス不動産投資法人,大阪府大阪市中央区高麗橋三丁目2番7号,,,
オリックス不動産投資法人,大阪府大阪市西区新町一丁目34番2号,,,
オリックス不動産投資法人,大阪府大阪市此花区桜島一丁目1番111号,,,
オリックス不動産投資法人,大阪府大阪市西区西本町三丁目1番19号,,,
オリックス不動産投資法人,大阪府大阪市中央区東心斎橋一丁目7番9号,,,
アドバンス・レジデンス投資法人,大阪府大阪市淀川区西宮原三丁目２番25号,信託受益権,,96.3
