location,occupancy
東京都品川区,100.0
東京都文京区,100.0
東京都中央区,98.5
東京都中野区,90.6
東京都中野区,93.7
東京都墨田区,100.0
東京都港区,95.6
東京都北区,89.5
東京都品川区,97.4
東京都北区,97.6
東京都杉並区,93.3
東京都新宿区,91.9
東京都品川区,93.8
東京都江東区,98.0
東京都品川区,96.6
東京都江東区,97.5
東京都中野区,97.0
東京都台東区,96.9
東京都江東区,96.4
東京都渋谷区,96.6
東京都渋谷区,98.2
東京都目黒区,96.3
東京都台東区,100.0
東京都中野区,96.3
東京都新宿区,97.3
東京都墨田区,98.8
東京都文京区,95.0
東京都新宿区,97.2
東京都中央区,92.4
東京都目黒区,94.1
東京都墨田区,96.9
東京都墨田区,100.0
東京都渋谷区,95.7
東京都千代田区,92.5
東京都目黒区,90.5
東京都品川区,100.0
東京都中野区,97.8
東京都墨田区,100.0
東京都中央区,98.1
東京都墨田区,92.2
東京都世田谷区,93.3
東京都豊島区,89.8
東京都世田谷区,96.5
東京都港区,100.0
東京都江東区,96.8
東京都板橋区,91.2
東京都中野区,99.3
東京都文京区,98.5
東京都中野区,97.9
東京都江東区,93.2
東京都板橋区,98.5
東京都新宿区,98.5
東京都新宿区,100.0
東京都新宿区,93.8
東京都世田谷区,95.0
東京都北区,96.7
東京都大田区,96.2
東京都品川区,95.0
東京都品川区,92.0
東京都品川区,100.0
東京都品川区,96.7
東京都目黒区,97.5
東京都台東区,98.4
東京都港区,97.6
東京都品川区,99.0
東京都港区,97.2
東京都目黒区,94.3
東京都品川区,90.9
東京都千代田区,68.0
東京都台東区,62.0
東京都港区,6.0
東京都港区,6.0
東京都港区,100.0
東京都品川区,100.0
東京都千代田区,100.0
東京都渋谷区,100.0
東京都渋谷区,100.0
東京都港区,100.0
東京都渋谷区,77.8
東京都品川区,100.0
東京都品川区,100.0
東京都新宿区,100.0
東京都港区,100.0
東京都渋谷区,100.0
東京都豊島区,100.0
東京都港区,100.0
東京都渋谷区,89.0
東京都品川区,100.0
東京都港区,100.0
東京都渋谷区,100.0
東京都港区,100.0
東京都港区,100.0
東京都渋谷区,100.0
東京都渋谷区,100.0
東京都渋谷区,100.0
東京都港区,100.0
東京都大田区,100.0
東京都渋谷区,100.0
東京都港区,99.8
東京都渋谷区,100.0
東京都渋谷区,98.7
東京都台東区,100.0
東京都板橋区,100.0
東京都大田区,95.7
東京都目黒区,100.0
東京都品川区,91.7
東京都新宿区,98.3
東京都新宿区,95.0
東京都世田谷区,97.9
東京都文京区,93.9
東京都中央区,98.2
東京都板橋区,100.0
東京都文京区,91.4
東京都世田谷区,100.0
東京都港区,97.1
東京都目黒区,100.0
東京都大田区,95.9
東京都品川区,98.3
東京都新宿区,90.8
東京都品川区,95.7
東京都台東区,97.0
東京都港区,80.9
東京都文京区,96.7
東京都千代田区,93.4
東京都千代田区,90.7
東京都文京区,93.4
東京都杉並区,100.0
東京都杉並区,93.3
東京都練馬区,97.2
東京都江東区,95.5
東京都品川区,94.7
東京都台東区,93.0
東京都練馬区,97.9
東京都千代田区,89.3
東京都文京区,91.5
東京都渋谷区,95.7
東京都中央区,100.0
東京都墨田区,92.0
東京都品川区,99.1
東京都渋谷区,93.4
東京都文京区,93.4
東京都世田谷区,100.0
東京都千代田区,96.3
東京都文京区,96.4
東京都中央区,93.1
東京都中央区,89.0
東京都大田区,98.9
東京都新宿区,90.8
東京都世田谷区,89.2
東京都渋谷区,98.2
東京都渋谷区,97.0
東京都千代田区,93.4
東京都目黒区,100.0
東京都渋谷区,88.7
東京都港区,91.7
東京都品川区,93.8
東京都中野区,100.0
東京都文京区,92.2
東京都板橋区,95.4
東京都文京区,96.9
東京都大田区,100.0
東京都目黒区,100.0
東京都目黒区,92.6
東京都大田区,98.2
東京都世田谷区,95.3
東京都品川区,91.7
東京都港区,95.8
東京都中央区,91.5
東京都中野区,92.8
東京都中央区,95.1
東京都中央区,93.5
東京都港区,96.0
東京都渋谷区,98.0
東京都台東区,98.6
東京都渋谷区,100.0
東京都台東区,88.9
東京都新宿区,85.2
東京都台東区,95.1
東京都大田区,98.0
東京都大田区,96.4
東京都中野区,92.4
東京都新宿区,89.9
東京都新宿区,95.7
東京都台東区,95.2
東京都中央区,95.4
東京都世田谷区,97.6
東京都世田谷区,95.0
東京都千代田区,95.7
東京都中央区,94.3
東京都品川区,89.8
東京都中央区,96.1
東京都渋谷区,97.4
東京都港区,97.9
東京都豊島区,95.6
東京都中央区,88.3
東京都世田谷区,97.5
東京都品川区,95.9
東京都港区,85.9
東京都台東区,92.6
東京都文京区,92.0
東京都大田区,100.0
東京都中央区,92.2
東京都千代田区,90.2
東京都北区,100.0
東京都文京区,93.2
東京都新宿区,92.3
東京都品川区,95.8
東京都練馬区,100.0
東京都杉並区,96.4
東京都大田区,94.3
東京都新宿区,92.6
東京都品川区,90.3
東京都杉並区,93.1
東京都豊島区,96.2
東京都新宿区,98.0
東京都渋谷区,96.2
東京都港区,91.9
東京都世田谷区,90.2
東京都板橋区,100.0
東京都千代田区,95.3
東京都台東区,98.3
東京都江東区,88.2
東京都江東区,100.0
東京都中央区,95.2
東京都港区,93.1
東京都新宿区,99.0
東京都杉並区,94.4
東京都新宿区,93.5
東京都文京区,92.7
東京都杉並区,93.2
東京都品川区,98.2
東京都板橋区,100.0
東京都墨田区,94.8
東京都墨田区,93.3
東京都目黒区,95.7
東京都江東区,96.3
東京都荒川区,93.5
東京都墨田区,90.0
東京都豊島区,91.8
東京都渋谷区,91.0
東京都板橋区,100.0
東京都新宿区,94.9
東京都大田区,98.2
東京都江戸川区,92.7
東京都千代田区,100.0
東京都千代田区,95.9
東京都大田区,96.5
東京都中央区,91.1
東京都渋谷区,94.3
東京都文京区,88.8
東京都港区,97.1
東京都港区,93.7
東京都港区,92.1
東京都文京区,93.4
東京都大田区,90.0
東京都品川区,98.5
東京都大田区,98.7
東京都新宿区,95.2
東京都新宿区,96.8
東京都世田谷区,94.9
東京都世田谷区,100.0
東京都港区,94.4
東京都江東区,97.1
東京都目黒区,90.5
東京都中央区,95.6
東京都文京区,88.3
東京都品川区,93.7
東京都文京区,90.1
東京都港区,97.2
東京都世田谷区,91.5
東京都目黒区,94.1
東京都港区,98.9
東京都板橋区,97.0
東京都目黒区,93.3
東京都千代田区,93.4
